Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2017_11_12_00_43_26_660.jpg,training_data/IMG/left_2017_11_12_00_43_26_660.jpg,training_data/IMG/right_2017_11_12_00_43_26_660.jpg,-0.1058824,1,0,30.06627
training_data/IMG/center_2017_11_12_00_43_26_731.jpg,training_data/IMG/left_2017_11_12_00_43_26_731.jpg,training_data/IMG/right_2017_11_12_00_43_26_731.jpg,-0.1058824,1,0,30.07235
training_data/IMG/center_2017_11_12_00_43_26_819.jpg,training_data/IMG/left_2017_11_12_00_43_26_819.jpg,training_data/IMG/right_2017_11_12_00_43_26_819.jpg,-0.1058824,1,0,29.77063
training_data/IMG/center_2017_11_12_00_43_26_871.jpg,training_data/IMG/left_2017_11_12_00_43_26_871.jpg,training_data/IMG/right_2017_11_12_00_43_26_871.jpg,-0.07647059,1,0,30.07537
training_data/IMG/center_2017_11_12_00_43_26_942.jpg,training_data/IMG/left_2017_11_12_00_43_26_942.jpg,training_data/IMG/right_2017_11_12_00_43_26_942.jpg,-0.02352941,1,0,30.09022
training_data/IMG/center_2017_11_12_00_43_27_045.jpg,training_data/IMG/left_2017_11_12_00_43_27_045.jpg,training_data/IMG/right_2017_11_12_00_43_27_045.jpg,-0.01764706,1,0,30.15595
training_data/IMG/center_2017_11_12_00_43_27_117.jpg,training_data/IMG/left_2017_11_12_00_43_27_117.jpg,training_data/IMG/right_2017_11_12_00_43_27_117.jpg,-0.01764706,1,0,30.18637
training_data/IMG/center_2017_11_12_00_43_27_193.jpg,training_data/IMG/left_2017_11_12_00_43_27_193.jpg,training_data/IMG/right_2017_11_12_00_43_27_193.jpg,-0.01764706,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_27_269.jpg,training_data/IMG/left_2017_11_12_00_43_27_269.jpg,training_data/IMG/right_2017_11_12_00_43_27_269.jpg,-0.005882353,1,0,30.19109
training_data/IMG/center_2017_11_12_00_43_27_349.jpg,training_data/IMG/left_2017_11_12_00_43_27_349.jpg,training_data/IMG/right_2017_11_12_00_43_27_349.jpg,0,1,0,30.19061
training_data/IMG/center_2017_11_12_00_43_27_443.jpg,training_data/IMG/left_2017_11_12_00_43_27_443.jpg,training_data/IMG/right_2017_11_12_00_43_27_443.jpg,0,1,0,30.19021
training_data/IMG/center_2017_11_12_00_43_27_537.jpg,training_data/IMG/left_2017_11_12_00_43_27_537.jpg,training_data/IMG/right_2017_11_12_00_43_27_537.jpg,0.005882353,1,0,30.19005
training_data/IMG/center_2017_11_12_00_43_27_629.jpg,training_data/IMG/left_2017_11_12_00_43_27_629.jpg,training_data/IMG/right_2017_11_12_00_43_27_629.jpg,0.005882353,1,0,30.19003
training_data/IMG/center_2017_11_12_00_43_27_711.jpg,training_data/IMG/left_2017_11_12_00_43_27_711.jpg,training_data/IMG/right_2017_11_12_00_43_27_711.jpg,0.005882353,1,0,30.18999
training_data/IMG/center_2017_11_12_00_43_27_787.jpg,training_data/IMG/left_2017_11_12_00_43_27_787.jpg,training_data/IMG/right_2017_11_12_00_43_27_787.jpg,0.04117647,1,0,30.18955
training_data/IMG/center_2017_11_12_00_43_27_854.jpg,training_data/IMG/left_2017_11_12_00_43_27_854.jpg,training_data/IMG/right_2017_11_12_00_43_27_854.jpg,0.06470589,1,0,30.18927
training_data/IMG/center_2017_11_12_00_43_27_931.jpg,training_data/IMG/left_2017_11_12_00_43_27_931.jpg,training_data/IMG/right_2017_11_12_00_43_27_931.jpg,0.06470589,1,0,30.18955
training_data/IMG/center_2017_11_12_00_43_28_013.jpg,training_data/IMG/left_2017_11_12_00_43_28_013.jpg,training_data/IMG/right_2017_11_12_00_43_28_013.jpg,0.06470589,1,0,30.18968
training_data/IMG/center_2017_11_12_00_43_28_097.jpg,training_data/IMG/left_2017_11_12_00_43_28_097.jpg,training_data/IMG/right_2017_11_12_00_43_28_097.jpg,0.06470589,1,0,30.18978
training_data/IMG/center_2017_11_12_00_43_28_167.jpg,training_data/IMG/left_2017_11_12_00_43_28_167.jpg,training_data/IMG/right_2017_11_12_00_43_28_167.jpg,0.06470589,1,0,30.18978
training_data/IMG/center_2017_11_12_00_43_28_268.jpg,training_data/IMG/left_2017_11_12_00_43_28_268.jpg,training_data/IMG/right_2017_11_12_00_43_28_268.jpg,0.03529412,1,0,30.19004
training_data/IMG/center_2017_11_12_00_43_28_363.jpg,training_data/IMG/left_2017_11_12_00_43_28_363.jpg,training_data/IMG/right_2017_11_12_00_43_28_363.jpg,0.02941176,1,0,30.19002
training_data/IMG/center_2017_11_12_00_43_28_438.jpg,training_data/IMG/left_2017_11_12_00_43_28_438.jpg,training_data/IMG/right_2017_11_12_00_43_28_438.jpg,0.02352941,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_28_510.jpg,training_data/IMG/left_2017_11_12_00_43_28_510.jpg,training_data/IMG/right_2017_11_12_00_43_28_510.jpg,0.02352941,1,0,30.18992
training_data/IMG/center_2017_11_12_00_43_28_607.jpg,training_data/IMG/left_2017_11_12_00_43_28_607.jpg,training_data/IMG/right_2017_11_12_00_43_28_607.jpg,0.02352941,1,0,30.18989
training_data/IMG/center_2017_11_12_00_43_28_682.jpg,training_data/IMG/left_2017_11_12_00_43_28_682.jpg,training_data/IMG/right_2017_11_12_00_43_28_682.jpg,0.02352941,1,0,30.18991
training_data/IMG/center_2017_11_12_00_43_28_755.jpg,training_data/IMG/left_2017_11_12_00_43_28_755.jpg,training_data/IMG/right_2017_11_12_00_43_28_755.jpg,0.02352941,1,0,30.18986
training_data/IMG/center_2017_11_12_00_43_28_833.jpg,training_data/IMG/left_2017_11_12_00_43_28_833.jpg,training_data/IMG/right_2017_11_12_00_43_28_833.jpg,0.02352941,1,0,30.18987
training_data/IMG/center_2017_11_12_00_43_28_911.jpg,training_data/IMG/left_2017_11_12_00_43_28_911.jpg,training_data/IMG/right_2017_11_12_00_43_28_911.jpg,0.01176471,1,0,30.18991
training_data/IMG/center_2017_11_12_00_43_28_985.jpg,training_data/IMG/left_2017_11_12_00_43_28_985.jpg,training_data/IMG/right_2017_11_12_00_43_28_985.jpg,0.01176471,1,0,30.18987
training_data/IMG/center_2017_11_12_00_43_29_063.jpg,training_data/IMG/left_2017_11_12_00_43_29_063.jpg,training_data/IMG/right_2017_11_12_00_43_29_063.jpg,0,1,0,30.18987
training_data/IMG/center_2017_11_12_00_43_29_138.jpg,training_data/IMG/left_2017_11_12_00_43_29_138.jpg,training_data/IMG/right_2017_11_12_00_43_29_138.jpg,0,1,0,30.18988
training_data/IMG/center_2017_11_12_00_43_29_215.jpg,training_data/IMG/left_2017_11_12_00_43_29_215.jpg,training_data/IMG/right_2017_11_12_00_43_29_215.jpg,0,1,0,30.18988
training_data/IMG/center_2017_11_12_00_43_29_291.jpg,training_data/IMG/left_2017_11_12_00_43_29_291.jpg,training_data/IMG/right_2017_11_12_00_43_29_291.jpg,0,1,0,30.18987
training_data/IMG/center_2017_11_12_00_43_29_370.jpg,training_data/IMG/left_2017_11_12_00_43_29_370.jpg,training_data/IMG/right_2017_11_12_00_43_29_370.jpg,0,1,0,30.18987
training_data/IMG/center_2017_11_12_00_43_29_448.jpg,training_data/IMG/left_2017_11_12_00_43_29_448.jpg,training_data/IMG/right_2017_11_12_00_43_29_448.jpg,0,1,0,30.18987
training_data/IMG/center_2017_11_12_00_43_29_520.jpg,training_data/IMG/left_2017_11_12_00_43_29_520.jpg,training_data/IMG/right_2017_11_12_00_43_29_520.jpg,0,1,0,30.18986
training_data/IMG/center_2017_11_12_00_43_29_588.jpg,training_data/IMG/left_2017_11_12_00_43_29_588.jpg,training_data/IMG/right_2017_11_12_00_43_29_588.jpg,0,1,0,30.18986
training_data/IMG/center_2017_11_12_00_43_29_681.jpg,training_data/IMG/left_2017_11_12_00_43_29_681.jpg,training_data/IMG/right_2017_11_12_00_43_29_681.jpg,-0.04705882,1,0,30.18929
training_data/IMG/center_2017_11_12_00_43_29_780.jpg,training_data/IMG/left_2017_11_12_00_43_29_780.jpg,training_data/IMG/right_2017_11_12_00_43_29_780.jpg,-0.04705882,1,0,30.18963
training_data/IMG/center_2017_11_12_00_43_29_882.jpg,training_data/IMG/left_2017_11_12_00_43_29_882.jpg,training_data/IMG/right_2017_11_12_00_43_29_882.jpg,-0.04705882,1,0,30.18974
training_data/IMG/center_2017_11_12_00_43_29_954.jpg,training_data/IMG/left_2017_11_12_00_43_29_954.jpg,training_data/IMG/right_2017_11_12_00_43_29_954.jpg,-0.04705882,1,0,30.18977
training_data/IMG/center_2017_11_12_00_43_30_027.jpg,training_data/IMG/left_2017_11_12_00_43_30_027.jpg,training_data/IMG/right_2017_11_12_00_43_30_027.jpg,-0.04705882,1,0,30.18983
training_data/IMG/center_2017_11_12_00_43_30_100.jpg,training_data/IMG/left_2017_11_12_00_43_30_100.jpg,training_data/IMG/right_2017_11_12_00_43_30_100.jpg,-0.02941176,1,0,30.18997
training_data/IMG/center_2017_11_12_00_43_30_178.jpg,training_data/IMG/left_2017_11_12_00_43_30_178.jpg,training_data/IMG/right_2017_11_12_00_43_30_178.jpg,-0.005882353,1,0,30.1899
training_data/IMG/center_2017_11_12_00_43_30_252.jpg,training_data/IMG/left_2017_11_12_00_43_30_252.jpg,training_data/IMG/right_2017_11_12_00_43_30_252.jpg,-0.005882353,1,0,30.18994
training_data/IMG/center_2017_11_12_00_43_30_322.jpg,training_data/IMG/left_2017_11_12_00_43_30_322.jpg,training_data/IMG/right_2017_11_12_00_43_30_322.jpg,-0.005882353,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_30_396.jpg,training_data/IMG/left_2017_11_12_00_43_30_396.jpg,training_data/IMG/right_2017_11_12_00_43_30_396.jpg,-0.005882353,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_30_471.jpg,training_data/IMG/left_2017_11_12_00_43_30_471.jpg,training_data/IMG/right_2017_11_12_00_43_30_471.jpg,-0.005882353,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_30_545.jpg,training_data/IMG/left_2017_11_12_00_43_30_545.jpg,training_data/IMG/right_2017_11_12_00_43_30_545.jpg,-0.005882353,1,0,30.18994
training_data/IMG/center_2017_11_12_00_43_30_618.jpg,training_data/IMG/left_2017_11_12_00_43_30_618.jpg,training_data/IMG/right_2017_11_12_00_43_30_618.jpg,0,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_30_693.jpg,training_data/IMG/left_2017_11_12_00_43_30_693.jpg,training_data/IMG/right_2017_11_12_00_43_30_693.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_30_794.jpg,training_data/IMG/left_2017_11_12_00_43_30_794.jpg,training_data/IMG/right_2017_11_12_00_43_30_794.jpg,0,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_30_867.jpg,training_data/IMG/left_2017_11_12_00_43_30_867.jpg,training_data/IMG/right_2017_11_12_00_43_30_867.jpg,0,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_30_941.jpg,training_data/IMG/left_2017_11_12_00_43_30_941.jpg,training_data/IMG/right_2017_11_12_00_43_30_941.jpg,0,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_31_020.jpg,training_data/IMG/left_2017_11_12_00_43_31_020.jpg,training_data/IMG/right_2017_11_12_00_43_31_020.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_31_097.jpg,training_data/IMG/left_2017_11_12_00_43_31_097.jpg,training_data/IMG/right_2017_11_12_00_43_31_097.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_31_176.jpg,training_data/IMG/left_2017_11_12_00_43_31_176.jpg,training_data/IMG/right_2017_11_12_00_43_31_176.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_31_258.jpg,training_data/IMG/left_2017_11_12_00_43_31_258.jpg,training_data/IMG/right_2017_11_12_00_43_31_258.jpg,0,1,0,30.18998
training_data/IMG/center_2017_11_12_00_43_31_328.jpg,training_data/IMG/left_2017_11_12_00_43_31_328.jpg,training_data/IMG/right_2017_11_12_00_43_31_328.jpg,0,1,0,30.18994
training_data/IMG/center_2017_11_12_00_43_31_396.jpg,training_data/IMG/left_2017_11_12_00_43_31_396.jpg,training_data/IMG/right_2017_11_12_00_43_31_396.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_31_466.jpg,training_data/IMG/left_2017_11_12_00_43_31_466.jpg,training_data/IMG/right_2017_11_12_00_43_31_466.jpg,0,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_31_544.jpg,training_data/IMG/left_2017_11_12_00_43_31_544.jpg,training_data/IMG/right_2017_11_12_00_43_31_544.jpg,0,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_31_630.jpg,training_data/IMG/left_2017_11_12_00_43_31_630.jpg,training_data/IMG/right_2017_11_12_00_43_31_630.jpg,0,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_31_712.jpg,training_data/IMG/left_2017_11_12_00_43_31_712.jpg,training_data/IMG/right_2017_11_12_00_43_31_712.jpg,0,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_31_794.jpg,training_data/IMG/left_2017_11_12_00_43_31_794.jpg,training_data/IMG/right_2017_11_12_00_43_31_794.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_31_884.jpg,training_data/IMG/left_2017_11_12_00_43_31_884.jpg,training_data/IMG/right_2017_11_12_00_43_31_884.jpg,0,1,0,30.18994
training_data/IMG/center_2017_11_12_00_43_31_960.jpg,training_data/IMG/left_2017_11_12_00_43_31_960.jpg,training_data/IMG/right_2017_11_12_00_43_31_960.jpg,0,1,0,30.18998
training_data/IMG/center_2017_11_12_00_43_32_036.jpg,training_data/IMG/left_2017_11_12_00_43_32_036.jpg,training_data/IMG/right_2017_11_12_00_43_32_036.jpg,0,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_32_113.jpg,training_data/IMG/left_2017_11_12_00_43_32_113.jpg,training_data/IMG/right_2017_11_12_00_43_32_113.jpg,0,1,0,30.18997
training_data/IMG/center_2017_11_12_00_43_32_190.jpg,training_data/IMG/left_2017_11_12_00_43_32_190.jpg,training_data/IMG/right_2017_11_12_00_43_32_190.jpg,0,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_32_273.jpg,training_data/IMG/left_2017_11_12_00_43_32_273.jpg,training_data/IMG/right_2017_11_12_00_43_32_273.jpg,0,1,0,30.18994
training_data/IMG/center_2017_11_12_00_43_32_355.jpg,training_data/IMG/left_2017_11_12_00_43_32_355.jpg,training_data/IMG/right_2017_11_12_00_43_32_355.jpg,-0.005882353,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_32_433.jpg,training_data/IMG/left_2017_11_12_00_43_32_433.jpg,training_data/IMG/right_2017_11_12_00_43_32_433.jpg,-0.005882353,1,0,30.18993
training_data/IMG/center_2017_11_12_00_43_32_518.jpg,training_data/IMG/left_2017_11_12_00_43_32_518.jpg,training_data/IMG/right_2017_11_12_00_43_32_518.jpg,-0.01176471,1,0,30.18994
training_data/IMG/center_2017_11_12_00_43_32_600.jpg,training_data/IMG/left_2017_11_12_00_43_32_600.jpg,training_data/IMG/right_2017_11_12_00_43_32_600.jpg,-0.01176471,1,0,30.18997
training_data/IMG/center_2017_11_12_00_43_32_686.jpg,training_data/IMG/left_2017_11_12_00_43_32_686.jpg,training_data/IMG/right_2017_11_12_00_43_32_686.jpg,-0.01176471,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_32_776.jpg,training_data/IMG/left_2017_11_12_00_43_32_776.jpg,training_data/IMG/right_2017_11_12_00_43_32_776.jpg,-0.01176471,1,0,30.18995
training_data/IMG/center_2017_11_12_00_43_32_864.jpg,training_data/IMG/left_2017_11_12_00_43_32_864.jpg,training_data/IMG/right_2017_11_12_00_43_32_864.jpg,-0.01176471,1,0,30.18994
