Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2017_11_12_00_43_57_619.jpg,training_data/IMG/left_2017_11_12_00_43_57_619.jpg,training_data/IMG/right_2017_11_12_00_43_57_619.jpg,-0.1294118,1,0,30.18902
training_data/IMG/center_2017_11_12_00_43_57_688.jpg,training_data/IMG/left_2017_11_12_00_43_57_688.jpg,training_data/IMG/right_2017_11_12_00_43_57_688.jpg,-0.1411765,1,0,30.18867
training_data/IMG/center_2017_11_12_00_43_57_755.jpg,training_data/IMG/left_2017_11_12_00_43_57_755.jpg,training_data/IMG/right_2017_11_12_00_43_57_755.jpg,-0.1470588,1,0,30.18896
training_data/IMG/center_2017_11_12_00_43_57_823.jpg,training_data/IMG/left_2017_11_12_00_43_57_823.jpg,training_data/IMG/right_2017_11_12_00_43_57_823.jpg,-0.1647059,1,0,30.18843
training_data/IMG/center_2017_11_12_00_43_57_891.jpg,training_data/IMG/left_2017_11_12_00_43_57_891.jpg,training_data/IMG/right_2017_11_12_00_43_57_891.jpg,-0.1764706,1,0,30.18831
training_data/IMG/center_2017_11_12_00_43_57_959.jpg,training_data/IMG/left_2017_11_12_00_43_57_959.jpg,training_data/IMG/right_2017_11_12_00_43_57_959.jpg,-0.1764706,1,0,30.18888
training_data/IMG/center_2017_11_12_00_43_58_027.jpg,training_data/IMG/left_2017_11_12_00_43_58_027.jpg,training_data/IMG/right_2017_11_12_00_43_58_027.jpg,-0.1764706,1,0,30.18918
training_data/IMG/center_2017_11_12_00_43_58_094.jpg,training_data/IMG/left_2017_11_12_00_43_58_094.jpg,training_data/IMG/right_2017_11_12_00_43_58_094.jpg,-0.1764706,1,0,30.18935
training_data/IMG/center_2017_11_12_00_43_58_163.jpg,training_data/IMG/left_2017_11_12_00_43_58_163.jpg,training_data/IMG/right_2017_11_12_00_43_58_163.jpg,-0.1764706,1,0,30.18949
training_data/IMG/center_2017_11_12_00_43_58_230.jpg,training_data/IMG/left_2017_11_12_00_43_58_230.jpg,training_data/IMG/right_2017_11_12_00_43_58_230.jpg,-0.1764706,1,0,30.18943
training_data/IMG/center_2017_11_12_00_43_58_299.jpg,training_data/IMG/left_2017_11_12_00_43_58_299.jpg,training_data/IMG/right_2017_11_12_00_43_58_299.jpg,-0.1764706,1,0,30.18962
