Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2017_11_12_00_43_36_746.jpg,training_data/IMG/left_2017_11_12_00_43_36_746.jpg,training_data/IMG/right_2017_11_12_00_43_36_746.jpg,-0.05294118,1,0,30.18992
training_data/IMG/center_2017_11_12_00_43_36_832.jpg,training_data/IMG/left_2017_11_12_00_43_36_832.jpg,training_data/IMG/right_2017_11_12_00_43_36_832.jpg,-0.05882353,1,0,30.19004
training_data/IMG/center_2017_11_12_00_43_36_917.jpg,training_data/IMG/left_2017_11_12_00_43_36_917.jpg,training_data/IMG/right_2017_11_12_00_43_36_917.jpg,-0.05882353,1,0,30.1901
training_data/IMG/center_2017_11_12_00_43_37_000.jpg,training_data/IMG/left_2017_11_12_00_43_37_000.jpg,training_data/IMG/right_2017_11_12_00_43_37_000.jpg,-0.05882353,1,0,30.19014
training_data/IMG/center_2017_11_12_00_43_37_083.jpg,training_data/IMG/left_2017_11_12_00_43_37_083.jpg,training_data/IMG/right_2017_11_12_00_43_37_083.jpg,-0.06470589,1,0,30.19007
training_data/IMG/center_2017_11_12_00_43_37_161.jpg,training_data/IMG/left_2017_11_12_00_43_37_161.jpg,training_data/IMG/right_2017_11_12_00_43_37_161.jpg,-0.09411765,1,0,30.18985
training_data/IMG/center_2017_11_12_00_43_37_242.jpg,training_data/IMG/left_2017_11_12_00_43_37_242.jpg,training_data/IMG/right_2017_11_12_00_43_37_242.jpg,-0.09411765,1,0,30.18978
training_data/IMG/center_2017_11_12_00_43_37_326.jpg,training_data/IMG/left_2017_11_12_00_43_37_326.jpg,training_data/IMG/right_2017_11_12_00_43_37_326.jpg,-0.09411765,1,0,30.18992
training_data/IMG/center_2017_11_12_00_43_37_409.jpg,training_data/IMG/left_2017_11_12_00_43_37_409.jpg,training_data/IMG/right_2017_11_12_00_43_37_409.jpg,-0.09411765,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_37_493.jpg,training_data/IMG/left_2017_11_12_00_43_37_493.jpg,training_data/IMG/right_2017_11_12_00_43_37_493.jpg,-0.09411765,1,0,30.19006
training_data/IMG/center_2017_11_12_00_43_37_570.jpg,training_data/IMG/left_2017_11_12_00_43_37_570.jpg,training_data/IMG/right_2017_11_12_00_43_37_570.jpg,-0.09411765,1,0,30.19009
training_data/IMG/center_2017_11_12_00_43_37_649.jpg,training_data/IMG/left_2017_11_12_00_43_37_649.jpg,training_data/IMG/right_2017_11_12_00_43_37_649.jpg,-0.09411765,1,0,30.19005
training_data/IMG/center_2017_11_12_00_43_37_727.jpg,training_data/IMG/left_2017_11_12_00_43_37_727.jpg,training_data/IMG/right_2017_11_12_00_43_37_727.jpg,-0.09411765,1,0,30.19013
training_data/IMG/center_2017_11_12_00_43_37_799.jpg,training_data/IMG/left_2017_11_12_00_43_37_799.jpg,training_data/IMG/right_2017_11_12_00_43_37_799.jpg,-0.09411765,1,0,30.19011
training_data/IMG/center_2017_11_12_00_43_37_877.jpg,training_data/IMG/left_2017_11_12_00_43_37_877.jpg,training_data/IMG/right_2017_11_12_00_43_37_877.jpg,-0.09411765,1,0,30.19034
training_data/IMG/center_2017_11_12_00_43_37_955.jpg,training_data/IMG/left_2017_11_12_00_43_37_955.jpg,training_data/IMG/right_2017_11_12_00_43_37_955.jpg,-0.09411765,1,0,30.19007
training_data/IMG/center_2017_11_12_00_43_38_038.jpg,training_data/IMG/left_2017_11_12_00_43_38_038.jpg,training_data/IMG/right_2017_11_12_00_43_38_038.jpg,-0.09411765,1,0,30.19009
training_data/IMG/center_2017_11_12_00_43_38_114.jpg,training_data/IMG/left_2017_11_12_00_43_38_114.jpg,training_data/IMG/right_2017_11_12_00_43_38_114.jpg,-0.09411765,1,0,30.19002
training_data/IMG/center_2017_11_12_00_43_38_195.jpg,training_data/IMG/left_2017_11_12_00_43_38_195.jpg,training_data/IMG/right_2017_11_12_00_43_38_195.jpg,-0.09411765,1,0,30.19015
training_data/IMG/center_2017_11_12_00_43_38_272.jpg,training_data/IMG/left_2017_11_12_00_43_38_272.jpg,training_data/IMG/right_2017_11_12_00_43_38_272.jpg,-0.09411765,1,0,30.19009
training_data/IMG/center_2017_11_12_00_43_38_351.jpg,training_data/IMG/left_2017_11_12_00_43_38_351.jpg,training_data/IMG/right_2017_11_12_00_43_38_351.jpg,-0.09411765,1,0,30.19046
training_data/IMG/center_2017_11_12_00_43_38_431.jpg,training_data/IMG/left_2017_11_12_00_43_38_431.jpg,training_data/IMG/right_2017_11_12_00_43_38_431.jpg,-0.09411765,1,0,30.19007
training_data/IMG/center_2017_11_12_00_43_38_515.jpg,training_data/IMG/left_2017_11_12_00_43_38_515.jpg,training_data/IMG/right_2017_11_12_00_43_38_515.jpg,-0.1294118,1,0,30.18908
training_data/IMG/center_2017_11_12_00_43_38_597.jpg,training_data/IMG/left_2017_11_12_00_43_38_597.jpg,training_data/IMG/right_2017_11_12_00_43_38_597.jpg,-0.1470588,1,0,30.1889
training_data/IMG/center_2017_11_12_00_43_38_674.jpg,training_data/IMG/left_2017_11_12_00_43_38_674.jpg,training_data/IMG/right_2017_11_12_00_43_38_674.jpg,-0.1588235,1,0,30.18866
training_data/IMG/center_2017_11_12_00_43_38_746.jpg,training_data/IMG/left_2017_11_12_00_43_38_746.jpg,training_data/IMG/right_2017_11_12_00_43_38_746.jpg,-0.1823529,1,0,30.1876
training_data/IMG/center_2017_11_12_00_43_38_830.jpg,training_data/IMG/left_2017_11_12_00_43_38_830.jpg,training_data/IMG/right_2017_11_12_00_43_38_830.jpg,-0.1941176,1,0,30.18816
training_data/IMG/center_2017_11_12_00_43_38_915.jpg,training_data/IMG/left_2017_11_12_00_43_38_915.jpg,training_data/IMG/right_2017_11_12_00_43_38_915.jpg,-0.1941176,1,0,30.18836
training_data/IMG/center_2017_11_12_00_43_39_000.jpg,training_data/IMG/left_2017_11_12_00_43_39_000.jpg,training_data/IMG/right_2017_11_12_00_43_39_000.jpg,-0.1941176,1,0,30.18914
training_data/IMG/center_2017_11_12_00_43_39_087.jpg,training_data/IMG/left_2017_11_12_00_43_39_087.jpg,training_data/IMG/right_2017_11_12_00_43_39_087.jpg,-0.2117647,1,0,30.18821
training_data/IMG/center_2017_11_12_00_43_39_174.jpg,training_data/IMG/left_2017_11_12_00_43_39_174.jpg,training_data/IMG/right_2017_11_12_00_43_39_174.jpg,-0.2235294,1,0,30.18802
training_data/IMG/center_2017_11_12_00_43_39_262.jpg,training_data/IMG/left_2017_11_12_00_43_39_262.jpg,training_data/IMG/right_2017_11_12_00_43_39_262.jpg,-0.2235294,1,0,30.18957
training_data/IMG/center_2017_11_12_00_43_39_341.jpg,training_data/IMG/left_2017_11_12_00_43_39_341.jpg,training_data/IMG/right_2017_11_12_00_43_39_341.jpg,-0.2235294,1,0,30.18895
training_data/IMG/center_2017_11_12_00_43_39_430.jpg,training_data/IMG/left_2017_11_12_00_43_39_430.jpg,training_data/IMG/right_2017_11_12_00_43_39_430.jpg,-0.2235294,1,0,30.18906
training_data/IMG/center_2017_11_12_00_43_39_521.jpg,training_data/IMG/left_2017_11_12_00_43_39_521.jpg,training_data/IMG/right_2017_11_12_00_43_39_521.jpg,-0.2235294,1,0,30.18915
training_data/IMG/center_2017_11_12_00_43_39_613.jpg,training_data/IMG/left_2017_11_12_00_43_39_613.jpg,training_data/IMG/right_2017_11_12_00_43_39_613.jpg,-0.2235294,1,0,30.18881
training_data/IMG/center_2017_11_12_00_43_39_698.jpg,training_data/IMG/left_2017_11_12_00_43_39_698.jpg,training_data/IMG/right_2017_11_12_00_43_39_698.jpg,-0.2235294,1,0,30.18924
