Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2018_01_01_03_04_22_105.jpg,training_data/IMG/left_2018_01_01_03_04_22_105.jpg,training_data/IMG/right_2018_01_01_03_04_22_105.jpg,-0.04705882,1,0,30.19027
training_data/IMG/center_2018_01_01_03_04_22_197.jpg,training_data/IMG/left_2018_01_01_03_04_22_197.jpg,training_data/IMG/right_2018_01_01_03_04_22_197.jpg,-0.04705882,1,0,30.19024
training_data/IMG/center_2018_01_01_03_04_22_265.jpg,training_data/IMG/left_2018_01_01_03_04_22_265.jpg,training_data/IMG/right_2018_01_01_03_04_22_265.jpg,-0.04705882,1,0,30.1902
training_data/IMG/center_2018_01_01_03_04_22_361.jpg,training_data/IMG/left_2018_01_01_03_04_22_361.jpg,training_data/IMG/right_2018_01_01_03_04_22_361.jpg,-0.04705882,1,0,30.19023
training_data/IMG/center_2018_01_01_03_04_22_430.jpg,training_data/IMG/left_2018_01_01_03_04_22_430.jpg,training_data/IMG/right_2018_01_01_03_04_22_430.jpg,-0.04705882,1,0,30.19024
training_data/IMG/center_2018_01_01_03_04_22_534.jpg,training_data/IMG/left_2018_01_01_03_04_22_534.jpg,training_data/IMG/right_2018_01_01_03_04_22_534.jpg,-0.04705882,1,0,30.19036
training_data/IMG/center_2018_01_01_03_04_22_634.jpg,training_data/IMG/left_2018_01_01_03_04_22_634.jpg,training_data/IMG/right_2018_01_01_03_04_22_634.jpg,-0.04705882,1,0,30.19026
training_data/IMG/center_2018_01_01_03_04_22_733.jpg,training_data/IMG/left_2018_01_01_03_04_22_733.jpg,training_data/IMG/right_2018_01_01_03_04_22_733.jpg,-0.04705882,1,0,30.19016
training_data/IMG/center_2018_01_01_03_04_22_832.jpg,training_data/IMG/left_2018_01_01_03_04_22_832.jpg,training_data/IMG/right_2018_01_01_03_04_22_832.jpg,-0.04705882,1,0,30.19024
training_data/IMG/center_2018_01_01_03_04_22_904.jpg,training_data/IMG/left_2018_01_01_03_04_22_904.jpg,training_data/IMG/right_2018_01_01_03_04_22_904.jpg,-0.05294118,1,0,30.19017
training_data/IMG/center_2018_01_01_03_04_22_998.jpg,training_data/IMG/left_2018_01_01_03_04_22_998.jpg,training_data/IMG/right_2018_01_01_03_04_22_998.jpg,-0.07058824,1,0,30.18995
