Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2017_11_12_00_43_52_091.jpg,training_data/IMG/left_2017_11_12_00_43_52_091.jpg,training_data/IMG/right_2017_11_12_00_43_52_091.jpg,0.03529412,1,0,30.18982
training_data/IMG/center_2017_11_12_00_43_52_167.jpg,training_data/IMG/left_2017_11_12_00_43_52_167.jpg,training_data/IMG/right_2017_11_12_00_43_52_167.jpg,0.04117647,1,0,30.19003
training_data/IMG/center_2017_11_12_00_43_52_238.jpg,training_data/IMG/left_2017_11_12_00_43_52_238.jpg,training_data/IMG/right_2017_11_12_00_43_52_238.jpg,0.04117647,1,0,30.19011
training_data/IMG/center_2017_11_12_00_43_52_312.jpg,training_data/IMG/left_2017_11_12_00_43_52_312.jpg,training_data/IMG/right_2017_11_12_00_43_52_312.jpg,0.04705882,1,0,30.18996
training_data/IMG/center_2017_11_12_00_43_52_383.jpg,training_data/IMG/left_2017_11_12_00_43_52_383.jpg,training_data/IMG/right_2017_11_12_00_43_52_383.jpg,0.04705882,1,0,30.19033
training_data/IMG/center_2017_11_12_00_43_52_450.jpg,training_data/IMG/left_2017_11_12_00_43_52_450.jpg,training_data/IMG/right_2017_11_12_00_43_52_450.jpg,0.04705882,1,0,30.1902
training_data/IMG/center_2017_11_12_00_43_52_519.jpg,training_data/IMG/left_2017_11_12_00_43_52_519.jpg,training_data/IMG/right_2017_11_12_00_43_52_519.jpg,0.04705882,1,0,30.19014
training_data/IMG/center_2017_11_12_00_43_52_608.jpg,training_data/IMG/left_2017_11_12_00_43_52_608.jpg,training_data/IMG/right_2017_11_12_00_43_52_608.jpg,0.04705882,1,0,30.1901
training_data/IMG/center_2017_11_12_00_43_52_694.jpg,training_data/IMG/left_2017_11_12_00_43_52_694.jpg,training_data/IMG/right_2017_11_12_00_43_52_694.jpg,0.04117647,1,0,30.1901
training_data/IMG/center_2017_11_12_00_43_52_781.jpg,training_data/IMG/left_2017_11_12_00_43_52_781.jpg,training_data/IMG/right_2017_11_12_00_43_52_781.jpg,0.01176471,1,0,30.19031
training_data/IMG/center_2017_11_12_00_43_52_878.jpg,training_data/IMG/left_2017_11_12_00_43_52_878.jpg,training_data/IMG/right_2017_11_12_00_43_52_878.jpg,-0.01176471,1,0,30.19013
training_data/IMG/center_2017_11_12_00_43_52_976.jpg,training_data/IMG/left_2017_11_12_00_43_52_976.jpg,training_data/IMG/right_2017_11_12_00_43_52_976.jpg,-0.01176471,1,0,30.19032
training_data/IMG/center_2017_11_12_00_43_53_078.jpg,training_data/IMG/left_2017_11_12_00_43_53_078.jpg,training_data/IMG/right_2017_11_12_00_43_53_078.jpg,-0.01176471,1,0,30.19028
training_data/IMG/center_2017_11_12_00_43_53_152.jpg,training_data/IMG/left_2017_11_12_00_43_53_152.jpg,training_data/IMG/right_2017_11_12_00_43_53_152.jpg,-0.04117647,1,0,30.18998
training_data/IMG/center_2017_11_12_00_43_53_223.jpg,training_data/IMG/left_2017_11_12_00_43_53_223.jpg,training_data/IMG/right_2017_11_12_00_43_53_223.jpg,-0.04705882,1,0,30.19006
training_data/IMG/center_2017_11_12_00_43_53_296.jpg,training_data/IMG/left_2017_11_12_00_43_53_296.jpg,training_data/IMG/right_2017_11_12_00_43_53_296.jpg,-0.04705882,1,0,30.19002
training_data/IMG/center_2017_11_12_00_43_53_365.jpg,training_data/IMG/left_2017_11_12_00_43_53_365.jpg,training_data/IMG/right_2017_11_12_00_43_53_365.jpg,-0.04705882,1,0,30.19031
training_data/IMG/center_2017_11_12_00_43_53_450.jpg,training_data/IMG/left_2017_11_12_00_43_53_450.jpg,training_data/IMG/right_2017_11_12_00_43_53_450.jpg,-0.04705882,1,0,30.19037
training_data/IMG/center_2017_11_12_00_43_53_537.jpg,training_data/IMG/left_2017_11_12_00_43_53_537.jpg,training_data/IMG/right_2017_11_12_00_43_53_537.jpg,-0.01176471,1,0,30.19063
training_data/IMG/center_2017_11_12_00_43_53_641.jpg,training_data/IMG/left_2017_11_12_00_43_53_641.jpg,training_data/IMG/right_2017_11_12_00_43_53_641.jpg,0,1,0,30.19049
training_data/IMG/center_2017_11_12_00_43_53_712.jpg,training_data/IMG/left_2017_11_12_00_43_53_712.jpg,training_data/IMG/right_2017_11_12_00_43_53_712.jpg,0,1,0,30.19076
training_data/IMG/center_2017_11_12_00_43_53_786.jpg,training_data/IMG/left_2017_11_12_00_43_53_786.jpg,training_data/IMG/right_2017_11_12_00_43_53_786.jpg,0,1,0,30.19007
training_data/IMG/center_2017_11_12_00_43_53_858.jpg,training_data/IMG/left_2017_11_12_00_43_53_858.jpg,training_data/IMG/right_2017_11_12_00_43_53_858.jpg,0,1,0,30.19034
training_data/IMG/center_2017_11_12_00_43_53_927.jpg,training_data/IMG/left_2017_11_12_00_43_53_927.jpg,training_data/IMG/right_2017_11_12_00_43_53_927.jpg,0,1,0,30.1902
training_data/IMG/center_2017_11_12_00_43_53_995.jpg,training_data/IMG/left_2017_11_12_00_43_53_995.jpg,training_data/IMG/right_2017_11_12_00_43_53_995.jpg,0,1,0,30.19043
training_data/IMG/center_2017_11_12_00_43_54_066.jpg,training_data/IMG/left_2017_11_12_00_43_54_066.jpg,training_data/IMG/right_2017_11_12_00_43_54_066.jpg,0,1,0,30.19022
