Center Camera Images,Left Camera Images,Right Camera Images,Steering Angle,Throttle,Brake,Speed
training_data/IMG/center_2017_11_12_00_44_02_311.jpg,training_data/IMG/left_2017_11_12_00_44_02_311.jpg,training_data/IMG/right_2017_11_12_00_44_02_311.jpg,-0.06470589,1,0,30.19085
training_data/IMG/center_2017_11_12_00_44_02_380.jpg,training_data/IMG/left_2017_11_12_00_44_02_380.jpg,training_data/IMG/right_2017_11_12_00_44_02_380.jpg,-0.06470589,1,0,30.19048
training_data/IMG/center_2017_11_12_00_44_02_455.jpg,training_data/IMG/left_2017_11_12_00_44_02_455.jpg,training_data/IMG/right_2017_11_12_00_44_02_455.jpg,-0.06470589,1,0,30.1904
training_data/IMG/center_2017_11_12_00_44_02_528.jpg,training_data/IMG/left_2017_11_12_00_44_02_528.jpg,training_data/IMG/right_2017_11_12_00_44_02_528.jpg,-0.06470589,1,0,30.19032
training_data/IMG/center_2017_11_12_00_44_02_599.jpg,training_data/IMG/left_2017_11_12_00_44_02_599.jpg,training_data/IMG/right_2017_11_12_00_44_02_599.jpg,-0.06470589,1,0,30.1903
training_data/IMG/center_2017_11_12_00_44_02_673.jpg,training_data/IMG/left_2017_11_12_00_44_02_673.jpg,training_data/IMG/right_2017_11_12_00_44_02_673.jpg,-0.06470589,1,0,30.19027
training_data/IMG/center_2017_11_12_00_44_02_746.jpg,training_data/IMG/left_2017_11_12_00_44_02_746.jpg,training_data/IMG/right_2017_11_12_00_44_02_746.jpg,-0.06470589,1,0,30.19023
training_data/IMG/center_2017_11_12_00_44_02_824.jpg,training_data/IMG/left_2017_11_12_00_44_02_824.jpg,training_data/IMG/right_2017_11_12_00_44_02_824.jpg,-0.06470589,1,0,30.19022
training_data/IMG/center_2017_11_12_00_44_02_896.jpg,training_data/IMG/left_2017_11_12_00_44_02_896.jpg,training_data/IMG/right_2017_11_12_00_44_02_896.jpg,-0.06470589,1,0,30.19047
training_data/IMG/center_2017_11_12_00_44_02_972.jpg,training_data/IMG/left_2017_11_12_00_44_02_972.jpg,training_data/IMG/right_2017_11_12_00_44_02_972.jpg,-0.06470589,1,0,30.19023
training_data/IMG/center_2017_11_12_00_44_03_044.jpg,training_data/IMG/left_2017_11_12_00_44_03_044.jpg,training_data/IMG/right_2017_11_12_00_44_03_044.jpg,-0.06470589,1,0,30.1902
training_data/IMG/center_2017_11_12_00_44_03_122.jpg,training_data/IMG/left_2017_11_12_00_44_03_122.jpg,training_data/IMG/right_2017_11_12_00_44_03_122.jpg,-0.06470589,1,0,30.19028
training_data/IMG/center_2017_11_12_00_44_03_210.jpg,training_data/IMG/left_2017_11_12_00_44_03_210.jpg,training_data/IMG/right_2017_11_12_00_44_03_210.jpg,-0.06470589,1,0,30.19025
training_data/IMG/center_2017_11_12_00_44_03_292.jpg,training_data/IMG/left_2017_11_12_00_44_03_292.jpg,training_data/IMG/right_2017_11_12_00_44_03_292.jpg,-0.05294118,1,0,30.19034
training_data/IMG/center_2017_11_12_00_44_03_366.jpg,training_data/IMG/left_2017_11_12_00_44_03_366.jpg,training_data/IMG/right_2017_11_12_00_44_03_366.jpg,-0.05294118,1,0,30.19029
training_data/IMG/center_2017_11_12_00_44_03_450.jpg,training_data/IMG/left_2017_11_12_00_44_03_450.jpg,training_data/IMG/right_2017_11_12_00_44_03_450.jpg,-0.05294118,1,0,30.19027
